"Linked account","423923805662","211125655150","064229733190","477503675545","039688859441","784601959399","103633121705","375001756945","403459902334","922439221482","039459515500","806733087758","141648887286","965908833262","641767084933","320879214285","301275980680","775549364546","105105014382","613279616201","023627346911","573084786527","822065422991","374132417868","695331943202","944558473078","968052644318","883769430099","961581581006","767397920239","637423234008","851725496743","992382549067","142483040654","077365145639","992382490840","211125538156","757976652867","645197252882","911993569563","471112528947","702928382701","058264226914","381491944264","614321597686","980048281483","654654502616","471112706815","904437407717","746794333600","765936021351","784027262818",""
"Linked account name","MGMResortsTDD ($)","GQL-Prod-New ($)","Network-Hub ($)","GQL-Prod ($)","GSE-Dev ($)","GSE-QA2 ($)","Location-Services-Dev ($)","GQL-QA2 ($)","GQL-QA4 ($)","Shared-Services ($)","GQL-Dev ($)","Dev-Workload-1 ($)","Security-Services ($)","GQL-QA3 ($)","GQL-PRE-PROD ($)","AFT-Management ($)","Log Archive ($)","Workspaces ($)","DMP-Prod ($)","tech-sandbox ($)","Identity-Management ($)","MARTECH-Prod ($)","workspaces-dev ($)","MARTECH-PRE-PROD ($)","MGM-Mobile-Prod ($)","MARTECH-Dev ($)","MARTECH-QA1 ($)","GSE-QA3 ($)","DMP-QA4 ($)","WebGen3-Prod ($)","WebGen3-Qa1 ($)","WebGen3-Dev ($)","WebGen3-Pre-Prod ($)","MGM-Mobile-Dev ($)","GQL-QA1 ($)","OBSERVABILITY-Dev ($)","OBSERVABILITY-QA1 ($)","Location-Services-Prod ($)","LOCATION-SERVICES-PRE-PROD ($)","LOCATION-SERVICES-QA1 ($)","OBSERVABILITY-PRE-PROD ($)","GSE-Prod ($)","OBSERVABILITY-Prod ($)","FinOps ($)","Key-Management ($)","Landing-Zone-CNI-Dev ($)","observability-sandbox ($)","security-sandbox ($)","dge-sandbox ($)","Audit ($)","Backup-Vault ($)","TDD-Platform-Development ($)","Total costs ($)"
"Linked account total","38062.1342007944","19609.4018394657","17987.4661250999","2280.8247170049","2074.4067902875","1179.7925971146","1119.8691718307","596.0126091312","562.7096045923","557.6263967609","549.503002731","492.4014151995","442.113174656","415.6777185268","383.071444908","357.6332260889","341.6843557103","309.5345456637","240.3394004644","222.8700906677","194.0888810826","177.4294261047","171.0106546835","167.1127560727","148.0531076713","126.1106967151","123.62131125","105.4050897634","92.4531751528","88.4585100835","88.3869013193","88.0231781872","87.5490457417","82.9085336666","81.9647375833","81.4546293","81.289377759","81.2292117059","80.9910361719","80.7607183525","80.4467676579","80.4133764001","80.1138310141","70.6408857751","68.4567670353","62.3776675544","43.7319610104","42.1250322046","41.5714717382","40.863366412","40.7854723074","30.2470994964","90695.1471036713"
"2025-05-01","38062.1342007944","19609.4018394657","17987.4661250999","2280.8247170049","2074.4067902875","1179.7925971146","1119.8691718307","596.0126091312","562.7096045923","557.6263967609","549.503002731","492.4014151995","442.113174656","415.6777185268","383.071444908","357.6332260889","341.6843557103","309.5345456637","240.3394004644","222.8700906677","194.0888810826","177.4294261047","171.0106546835","167.1127560727","148.0531076713","126.1106967151","123.62131125","105.4050897634","92.4531751528","88.4585100835","88.3869013193","88.0231781872","87.5490457417","82.9085336666","81.9647375833","81.4546293","81.289377759","81.2292117059","80.9910361719","80.7607183525","80.4467676579","80.4133764001","80.1138310141","70.6408857751","68.4567670353","62.3776675544","43.7319610104","42.1250322046","41.5714717382","40.863366412","40.7854723074","30.2470994964","90695.1471036713"
