"Linked account","211125655150","064229733190","423923805662","784601959399","039688859441","477503675545","103633121705","922439221482","613279616201","141648887286","375001756945","268675503459","403459902334","039459515500","641767084933","806733087758","965908833262","320879214285","301275980680","775549364546","105105014382","023627346911","374132417868","695331943202","822065422991","330147996421","944558473078","968052644318","573084786527","883769430099","961581581006","637423234008","767397920239","851725496743","992382549067","142483040654","077365145639","992382490840","645197252882","211125538156","757976652867","911993569563","471112528947","702928382701","058264226914","784027262818","381491944264","614321597686","654654502616","904437407717","471112706815","746794333600","765936021351","245094849546","389590581556","322748898106","921432331006","606863149168","473548817505","154770582373",""
"Linked account name","GQL-Prod-New ($)","Network-Hub ($)","MGMResortsTDD ($)","GSE-QA2 ($)","GSE-Dev ($)","GQL-Prod ($)","Location-Services-Dev ($)","Shared-Services ($)","tech-sandbox ($)","Security-Services ($)","GQL-QA2 ($)","AIML-Development ($)","GQL-QA4 ($)","GQL-Dev ($)","GQL-PRE-PROD ($)","Dev-Workload-1 ($)","GQL-QA3 ($)","AFT-Management ($)","Log Archive ($)","Workspaces ($)","DMP-Prod ($)","Identity-Management ($)","MARTECH-PRE-PROD ($)","MGM-Mobile-Prod ($)","workspaces-dev ($)","AI-Services-Development ($)","MARTECH-Dev ($)","MARTECH-QA1 ($)","MARTECH-Prod ($)","GSE-QA3 ($)","DMP-QA4 ($)","WebGen3-Qa1 ($)","WebGen3-Prod ($)","WebGen3-Dev ($)","WebGen3-Pre-Prod ($)","MGM-Mobile-Dev ($)","GQL-QA1 ($)","OBSERVABILITY-Dev ($)","LOCATION-SERVICES-PRE-PROD ($)","OBSERVABILITY-QA1 ($)","Location-Services-Prod ($)","LOCATION-SERVICES-QA1 ($)","OBSERVABILITY-PRE-PROD ($)","GSE-Prod ($)","OBSERVABILITY-Prod ($)","TDD-Platform-Development ($)","FinOps ($)","Key-Management ($)","observability-sandbox ($)","dge-sandbox ($)","security-sandbox ($)","Audit ($)","Backup-Vault ($)","EA-Services-Development ($)","AI-Services-Prod ($)","EA-Services-Prod ($)","AI-Services-QA ($)","AI-Security-Development ($)","AI-CMS-Development ($)","EA-Services-QA ($)","Total costs ($)"
"Linked account total","27236.539548968","19381.9825101056","15863.0078663051","5614.7136276793","5163.5016728874","2320.3080209747","1125.648643243","1072.93992701","923.6247049984","868.7392421271","760.7615533818","737.9620785627","664.1352025771","628.9396463527","554.7566123822","496.5828963684","496.3955130339","390.0390779062","371.855249544","312.4487118555","239.927072132","204.158936051","201.219503912","193.292820262","173.7159886838","145.4194506324","129.2009383623","126.7223441442","122.0202674826","109.0694951849","92.6387517401","91.9140978546","91.7242230312","91.1392831594","90.2609369308","86.0345235284","84.7337999026","84.5949131005","84.1445060298","84.0403194055","83.9461403253","83.7252172822","83.4504719276","83.312598012","83.1048729664","79.5332286665","74.1387992078","71.8476188959","47.1398270677","45.6334903817","45.1197626326","44.3360529029","43.9161084659","7.5023101049","7.4353357568","7.4019494122","6.5628199494","6.5225244321","6.461513687","6.4533039061","88428.3984237762"
"2025-07-01","27236.539548968","19381.9825101056","15863.0078663051","5614.7136276793","5163.5016728874","2320.3080209747","1125.648643243","1072.93992701","923.6247049984","868.7392421271","760.7615533818","737.9620785627","664.1352025771","628.9396463527","554.7566123822","496.5828963684","496.3955130339","390.0390779062","371.855249544","312.4487118555","239.927072132","204.158936051","201.219503912","193.292820262","173.7159886838","145.4194506324","129.2009383623","126.7223441442","122.0202674826","109.0694951849","92.6387517401","91.9140978546","91.7242230312","91.1392831594","90.2609369308","86.0345235284","84.7337999026","84.5949131005","84.1445060298","84.0403194055","83.9461403253","83.7252172822","83.4504719276","83.312598012","83.1048729664","79.5332286665","74.1387992078","71.8476188959","47.1398270677","45.6334903817","45.1197626326","44.3360529029","43.9161084659","7.5023101049","7.4353357568","7.4019494122","6.5628199494","6.5225244321","6.461513687","6.4533039061","88428.3984237762"
