"Linked account","211125655150","064229733190","423923805662","268675503459","784601959399","477503675545","455896786380","103633121705","922439221482","141648887286","039688859441","330147996421","375001756945","039459515500","403459902334","965908833262","806733087758","641767084933","245094849546","301275980680","320879214285","060623761971","775549364546","389590581556","105105014382","851563870054","613279616201","023627346911","822065422991","573084786527","374132417868","968052644318","944558473078","883769430099","695331943202","961581581006","142483040654","637423234008","767397920239","992382549067","614321597686","077365145639","851725496743","757976652867","911993569563","702928382701","645197252882","211125538156","471112528947","058264226914","992382490840","381491944264","784027262818","606863149168","033995042893","904437407717","921432331006","322748898106","154770582373","473548817505","983741982371","199844352524","746794333600","765936021351","654654502616","471112706815","598098831914",""
"Linked account name","GQL-Prod-New ($)","Network-Hub ($)","MGMResortsTDD ($)","AIML-Development ($)","GSE-QA2 ($)","GQL-Prod ($)","AI-Hospitality-Development ($)","Location-Services-Dev ($)","Shared-Services ($)","Security-Services ($)","GSE-Dev ($)","AI-Services-Development ($)","GQL-QA2 ($)","GQL-Dev ($)","GQL-QA4 ($)","GQL-QA3 ($)","Dev-Workload-1 ($)","GQL-PRE-PROD ($)","EA-Services-Development ($)","Log Archive ($)","AFT-Management ($)","AI-Gaming-Development ($)","Workspaces ($)","AI-Services-Prod ($)","DMP-Prod ($)","AI-Cloud-Development ($)","tech-sandbox ($)","Identity-Management ($)","workspaces-dev ($)","MARTECH-Prod ($)","MARTECH-PRE-PROD ($)","MARTECH-QA1 ($)","MARTECH-Dev ($)","GSE-QA3 ($)","MGM-Mobile-Prod ($)","DMP-QA4 ($)","MGM-Mobile-Dev ($)","WebGen3-Qa1 ($)","WebGen3-Prod ($)","WebGen3-Pre-Prod ($)","Key-Management ($)","GQL-QA1 ($)","WebGen3-Dev ($)","Location-Services-Prod ($)","LOCATION-SERVICES-QA1 ($)","GSE-Prod ($)","LOCATION-SERVICES-PRE-PROD ($)","OBSERVABILITY-QA1 ($)","OBSERVABILITY-PRE-PROD ($)","OBSERVABILITY-Prod ($)","OBSERVABILITY-Dev ($)","FinOps ($)","TDD-Platform-Development ($)","AI-Security-Development ($)","AI-HR-Development ($)","dge-sandbox ($)","AI-Services-QA ($)","EA-Services-Prod ($)","EA-Services-QA ($)","AI-CMS-Development ($)","AI-Mobile-Development ($)","AI-Booking-Development ($)","Audit ($)","Backup-Vault ($)","observability-sandbox ($)","security-sandbox ($)","AI-Data-Development ($)","Total costs ($)"
"Linked account total","29412.2928924771","18047.3298178772","16001.276527727","5077.4646311337","4795.86310411","2169.3113086367","1569.5331450334","1103.892758233","877.521742274","856.7340314795","839.5272000169","767.6081224429","750.0419816121","686.6266584069","664.9504336531","546.0620696001","496.249454036","488.2985678481","476.8806586909","396.4341304545","376.4978273771","327.767721454","302.2316431706","247.0372936215","236.7490624322","212.1782714429","206.2840241523","205.7900045871","165.7558183129","163.2544702932","161.0005054876","120.2236819818","119.3110407817","105.6682279133","101.5717403652","95.4879208401","86.5869422479","85.5594052491","85.0368126286","84.6744296574","83.1582588089","82.7387628676","82.4330153805","82.2486662118","82.1115357849","81.5289109053","81.5084972104","77.9737923352","77.9689374107","77.155281533","76.1149394222","70.8419536634","70.7017874012","70.3165823191","68.4217152692","67.488784226","65.5383646647","64.9791030608","64.8984836343","62.6377284764","62.5557863186","58.9372467657","43.0404053856","42.5668996159","41.5084166356","40.5485149323","8.4985827033","91300.9870326822"
"2025-11-01","29412.2928924771","18047.3298178772","16001.276527727","5077.4646311337","4795.86310411","2169.3113086367","1569.5331450334","1103.892758233","877.521742274","856.7340314795","839.5272000169","767.6081224429","750.0419816121","686.6266584069","664.9504336531","546.0620696001","496.249454036","488.2985678481","476.8806586909","396.4341304545","376.4978273771","327.767721454","302.2316431706","247.0372936215","236.7490624322","212.1782714429","206.2840241523","205.7900045871","165.7558183129","163.2544702932","161.0005054876","120.2236819818","119.3110407817","105.6682279133","101.5717403652","95.4879208401","86.5869422479","85.5594052491","85.0368126286","84.6744296574","83.1582588089","82.7387628676","82.4330153805","82.2486662118","82.1115357849","81.5289109053","81.5084972104","77.9737923352","77.9689374107","77.155281533","76.1149394222","70.8419536634","70.7017874012","70.3165823191","68.4217152692","67.488784226","65.5383646647","64.9791030608","64.8984836343","62.6377284764","62.5557863186","58.9372467657","43.0404053856","42.5668996159","41.5084166356","40.5485149323","8.4985827033","91300.9870326822"
