"Service","SQS($)","CloudTrail($)","Claude Sonnet 4.5 ( Bedrock Edition)($)","CloudWatch($)","Support (Enterprise)($)","Network Firewall($)","VPC($)","Lambda($)","ElastiCache($)","Claude Sonnet 4 ( Bedrock Edition)($)","Direct Connect($)","Claude Opus 4.6 ( Bedrock Edition)($)","API Gateway($)","GuardDuty($)","Route 53($)","Key Management Service($)","Elastic Load Balancing($)","EC2-Instances($)","Elastic Container Service($)","Claude Sonnet 4.6 ( Bedrock Edition)($)","S3($)","Managed Streaming for Apache Kafka($)","Security Hub($)","WAF($)","EC2-Other($)","Certificate Manager($)","Config($)","Systems Manager($)","Neptune($)","OpenSearch Service($)","Directory Service($)","Elastic Container Service for Kubernetes($)","Firewall Manager($)","X-Ray($)","OCBLateFee($)","App Runner($)","Secrets Manager($)","Kiro($)","Service Catalog($)","Identity and Access Management Access Analyzer($)","CloudWatch Events($)","QuickSight($)","Cost Explorer($)","Global Accelerator($)","EC2 Container Registry (ECR)($)","DynamoDB($)","Kinesis($)","SNS($)","Athena($)","Timestream($)","CodePipeline($)","Backup($)","Glue($)","CodeBuild($)","Claude Haiku 4.5 ( Bedrock Edition)($)","Bedrock($)","Location Service($)","SES($)","Step Functions($)","Claude 3.7 Sonnet ( Bedrock Edition)($)","Amplify($)","AppSync($)","CloudShell($)","Glacier($)","Elastic File System($)","CloudFront($)","CloudFormation($)","CodeCommit($)","Cognito($)","Tax($)","Total costs($)"
"Service total","10777.7911869245","10633.0208361682","9266.553120735","8949.1590008521","8831.04","7678.597778571","7431.1944801084","5907.2224524047","3661.995","3144.53361285","3027.8016694677","2499.810794475","2364.8900326899","1391.2811443218","1363.442392044","1222.8797648276","941.5430231268","926.2822738397","805.3601697483","698.478160095","673.9271380103","624.5389270361","584.88191","555.718323","439.3411306951","400","337.109","299.52986","297.6546372761","264.0657187494","248.6052806007","203.7584372018","199.99999488","195.473715","176.14","90.1620680935","74.9120076596","44.7134092","44.5207","32.8","27.983879437","23.9999993856","22.1309073733","16.8001940564","15.7920540595","14.7383320583","10.08","9.4933768254","5.102805","3.0425771221","2","1.7677178681","0.8642106","0.23","0.194665845","0.0039754","0.0030300019","0.0020134653","0.0014605005","0.000798","0.0005314777","0.0003710972","0.0000034052","0.0000021666","0.0000017472","1.85e-8","0","0","0","0","97464.9620575631"
"2026-02-01","10777.7911869245","10633.0208361682","9266.553120735","8949.1590008521","8831.04","7678.597778571","7431.1944801084","5907.2224524047","3661.995","3144.53361285","3027.8016694677","2499.810794475","2364.8900326899","1391.2811443218","1363.442392044","1222.8797648276","941.5430231268","926.2822738397","805.3601697483","698.478160095","673.9271380103","624.5389270361","584.88191","555.718323","439.3411306951","400","337.109","299.52986","297.6546372761","264.0657187494","248.6052806007","203.7584372018","199.99999488","195.473715","176.14","90.1620680935","74.9120076596","44.7134092","44.5207","32.8","27.983879437","23.9999993856","22.1309073733","16.8001940564","15.7920540595","14.7383320583","10.08","9.4933768254","5.102805","3.0425771221","2","1.7677178681","0.8642106","0.23","0.194665845","0.0039754","0.0030300019","0.0020134653","0.0014605005","0.000798","0.0005314777","0.0003710972","0.0000034052","0.0000021666","0.0000017472","0.0000000185","0","0","0","0","97464.9620575631"
