"Linked account","423923805662","211125655150","064229733190","039688859441","784601959399","477503675545","613279616201","103633121705","922439221482","375001756945","141648887286","403459902334","039459515500","965908833262","806733087758","641767084933","320879214285","301275980680","775549364546","105105014382","023627346911","374132417868","695331943202","822065422991","944558473078","968052644318","573084786527","883769430099","784027262818","961581581006","851725496743","767397920239","637423234008","992382549067","142483040654","077365145639","992382490840","911993569563","645197252882","211125538156","757976652867","058264226914","471112528947","702928382701","381491944264","614321597686","654654502616","471112706815","904437407717","765936021351","746794333600","268675503459",""
"Linked account name","MGMResortsTDD ($)","GQL-Prod-New ($)","Network-Hub ($)","GSE-Dev ($)","GSE-QA2 ($)","GQL-Prod ($)","tech-sandbox ($)","Location-Services-Dev ($)","Shared-Services ($)","GQL-QA2 ($)","Security-Services ($)","GQL-QA4 ($)","GQL-Dev ($)","GQL-QA3 ($)","Dev-Workload-1 ($)","GQL-PRE-PROD ($)","AFT-Management ($)","Log Archive ($)","Workspaces ($)","DMP-Prod ($)","Identity-Management ($)","MARTECH-PRE-PROD ($)","MGM-Mobile-Prod ($)","workspaces-dev ($)","MARTECH-Dev ($)","MARTECH-QA1 ($)","MARTECH-Prod ($)","GSE-QA3 ($)","TDD-Platform-Development ($)","DMP-QA4 ($)","WebGen3-Dev ($)","WebGen3-Prod ($)","WebGen3-Qa1 ($)","WebGen3-Pre-Prod ($)","MGM-Mobile-Dev ($)","GQL-QA1 ($)","OBSERVABILITY-Dev ($)","LOCATION-SERVICES-QA1 ($)","LOCATION-SERVICES-PRE-PROD ($)","OBSERVABILITY-QA1 ($)","Location-Services-Prod ($)","OBSERVABILITY-Prod ($)","OBSERVABILITY-PRE-PROD ($)","GSE-Prod ($)","FinOps ($)","Key-Management ($)","observability-sandbox ($)","security-sandbox ($)","dge-sandbox ($)","Backup-Vault ($)","Audit ($)","AIML-Development ($)","Total costs ($)"
"Linked account total","25134.302061701","22225.2314145845","17859.534353558","4352.8046890212","3580.3567169244","2193.5820232017","1297.4089860167","1087.4206043979","830.4255557173","669.4994978848","664.8690808992","642.122595703","583.2093843987","496.2610988315","490.2295367364","466.2280640672","352.5737587197","346.2547664837","300.3343931204","233.3050048305","191.8751295684","180.9201283336","177.1941517725","166.6111000102","123.4956159403","121.4298183334","110.3767957731","105.5643590763","93.2451130218","88.5499620178","87.0478580008","87.0458264252","86.6868008418","86.3627132811","81.4667808814","80.4565460146","79.7682291805","79.7340126311","79.6659179745","79.4061274994","79.3521340289","79.0402697598","78.9433972528","78.7694065774","70.4970363583","68.3292588121","43.6750743329","42.0064321905","41.6340744687","41.4728723466","40.7113143443","39.4685917272","86696.7564355751"
"2025-06-01","25134.302061701","22225.2314145845","17859.534353558","4352.8046890212","3580.3567169244","2193.5820232017","1297.4089860167","1087.4206043979","830.4255557173","669.4994978848","664.8690808992","642.122595703","583.2093843987","496.2610988315","490.2295367364","466.2280640672","352.5737587197","346.2547664837","300.3343931204","233.3050048305","191.8751295684","180.9201283336","177.1941517725","166.6111000102","123.4956159403","121.4298183334","110.3767957731","105.5643590763","93.2451130218","88.5499620178","87.0478580008","87.0458264252","86.6868008418","86.3627132811","81.4667808814","80.4565460146","79.7682291805","79.7340126311","79.6659179745","79.4061274994","79.3521340289","79.0402697598","78.9433972528","78.7694065774","70.4970363583","68.3292588121","43.6750743329","42.0064321905","41.6340744687","41.4728723466","40.7113143443","39.4685917272","86696.7564355751"
