"Service","CloudTrail($)","SQS($)","CloudWatch($)","Support (Enterprise)($)","Network Firewall($)","VPC($)","Claude Sonnet 4 ( Bedrock Edition)($)","Lambda($)","Claude Sonnet 4.5 ( Bedrock Edition)($)","Direct Connect($)","API Gateway($)","ElastiCache($)","GuardDuty($)","Route 53($)","Key Management Service($)","EC2-Instances($)","Elastic Load Balancing($)","Elastic Container Service($)","Managed Streaming for Apache Kafka($)","S3($)","Security Hub($)","WAF($)","EC2-Other($)","Certificate Manager($)","Config($)","Systems Manager($)","OpenSearch Service($)","Directory Service($)","Neptune($)","Elastic Container Service for Kubernetes($)","X-Ray($)","Firewall Manager($)","OCBLateFee($)","Secrets Manager($)","Service Catalog($)","Kiro($)","App Runner($)","Identity and Access Management Access Analyzer($)","CloudWatch Events($)","Cost Explorer($)","QuickSight($)","Global Accelerator($)","DynamoDB($)","EC2 Container Registry (ECR)($)","SNS($)","Kinesis($)","Athena($)","Timestream($)","Claude Haiku 4.5 ( Bedrock Edition)($)","Backup($)","Glue($)","Location Service($)","CodeBuild($)","SES($)","Step Functions($)","AppSync($)","Amplify($)","Glacier($)","Elastic File System($)","CloudShell($)","CloudFormation($)","CodeCommit($)","CodePipeline($)","CloudFront($)","Cognito($)","Tax($)","Total costs($)"
"Service total","12545.8580931731","11662.2996452103","10070.2650918887","9015.88","8168.9114661867","8056.6228618477","7579.8200688","6513.435803272","3432.151343385","3351.6804428713","2529.0082233832","2255.808","1643.0984922422","1508.8729316547","1224.053560726","996.0684602967","990.1315524113","877.0536628292","685.0246681946","663.5869383833","663.08555","590.8853432904","435.5156020508","400","376.272","347.71192","284.5155929605","275.3321622901","246.6260331023","223.8405516713","211.757325","199.9999968","176.32","74.2989945055","49.2975","40","36.3531067644","32.8","28.0529348955","26.8358616474","23.999999616","18.5752151752","17.8717198538","15.386122481","13.5571144889","11.16","5.346315","3.0448008243","1.746802035","1.671823","1.16983768","0.1299399983","0.06","0.0032343663","0.0023137131","0.0010049325","0.0009164445","0.0000024712","0.0000017112","1.359e-7","0","0","0","0","0","0","98602.8589456614"
"2026-01-01","12545.8580931731","11662.2996452103","10070.2650918887","9015.88","8168.9114661867","8056.6228618477","7579.8200688","6513.435803272","3432.151343385","3351.6804428713","2529.0082233832","2255.808","1643.0984922422","1508.8729316547","1224.053560726","996.0684602967","990.1315524113","877.0536628292","685.0246681946","663.5869383833","663.08555","590.8853432904","435.5156020508","400","376.272","347.71192","284.5155929605","275.3321622901","246.6260331023","223.8405516713","211.757325","199.9999968","176.32","74.2989945055","49.2975","40","36.3531067644","32.8","28.0529348955","26.8358616474","23.999999616","18.5752151752","17.8717198538","15.386122481","13.5571144889","11.16","5.346315","3.0448008243","1.746802035","1.671823","1.16983768","0.1299399983","0.06","0.0032343663","0.0023137131","0.0010049325","0.0009164445","0.0000024712","0.0000017112","0.0000001359","0","0","0","0","0","0","98602.8589456614"
