"UsageDate","SubscriptionName","CostUSD","Cost","Currency"
"2025-09-01","","-5.54239028851856","-5.54239028849993","USD"
"2025-09-01","Digital Engineering Fabric Production","23257.3865138591","23257.3865138591","USD"
"2025-09-01","Digital Engineering TDD Datacenter Services Development","726.020640725806","726.020640725806","USD"
"2025-09-01","Shared SaaS","7015.01659675744","7015.01659675744","USD"
"2025-09-01","TCOLV-Transit","1574.59423049081","1574.59423049081","USD"
"2025-09-01","Digital Engineering Site Reliability Engineering Production","16399.4346816562","16399.4346816562","USD"
"2025-09-01","Information Technology My MGM Lite Production","441.0040653306","441.0040653306","USD"
"2025-09-01","Digital Engineering Itinerary Production","7584.86760259708","7584.86760259708","USD"
"2025-09-01","Digital Engineering Legacy Loyalty Development","4771.48560671034","4771.48560671034","USD"
"2025-09-01","Digital Engineering AIMLDS Production","1062.53348601691","1062.53348601691","USD"
"2025-09-01","Information Technology Employee Hub Production","2253.96462405136","2253.96462405136","USD"
"2025-09-01","Digital Engineering Quality Engineering Development","347.646500860635","347.646500860635","USD"
"2025-09-01","Digital Engineering Product Information Management Production","19728.4142983242","19728.4142983242","USD"
"2025-09-01","Digital Engineering CMP Development","693.012799606781","693.012799606781","USD"
"2025-09-01","Digital Engineering Content Search Development","19060.1599485762","19060.1599485762","USD"
"2025-09-01","Digital Engineering Booking Production","95211.8503975931","95211.8503975931","USD"
"2025-09-01","Digital Engineering Identity v2 Development","4412.98279891827","4412.98279891827","USD"
"2025-09-01","Digital Engineering Guest Services Development","20758.1083713208","20758.1083713208","USD"
"2025-09-01","Digital Engineering GraphQL Development","0.00366282","0.00366282","USD"
"2025-09-01","Digital Engineering Commit Purchase Production","27777.77","27777.77","USD"
"2025-09-01","Digital Engineering Product Information Management Development","4638.95922525663","4638.95922525663","USD"
"2025-09-01","TDD Platform Development","93.5399564704224","93.5399564704224","USD"
"2025-09-01","Digital Engineering CIG Loyalty Development","20122.4970402626","20122.4970402626","USD"
"2025-09-01","Digital Engineering CIG Data Development","69698.2434740219","69698.2434740219","USD"
"2025-09-01","Digital Engineering CIG Sandbox","72.7328066870762","72.7328066870762","USD"
"2025-09-01","Information Technology IAM Production","5.07667568068008","5.07667568068008","USD"
"2025-09-01","Digital Engineering Itinerary Development","2689.31541505631","2689.31541505631","USD"
"2025-09-01","Digital Engineering CIG Production","217.139565280905","217.139565280905","USD"
"2025-09-01","Digital Engineering Booking Development","32841.421224245","32841.421224245","USD"
"2025-09-01","Digital Engineering ICE Production","9396.33996031833","9396.33996031833","USD"
"2025-09-01","Digital Engineering Configuration Services Development","4807.88895027013","4807.88895027013","USD"
"2025-09-01","Digital Engineering CIG ResortTech Production","9757.15209935679","9757.15209935679","USD"
"2025-09-01","Digital Engineering Non Ecommerce Development","4102.6566179928","4102.6566179928","USD"
"2025-09-01","Information Technology Security Development","2844.18685541263","2844.18685541263","USD"
"2025-09-01","Digital Engineering Payment Development","33401.5828704534","33401.5828704534","USD"
"2025-09-01","Information Technology Gaming & Hospitality Development","1534.12907328905","1534.12907328905","USD"
"2025-09-01","Digital Engineering GraphQL Production","0.0029673","0.0029673","USD"
"2025-09-01","Digital Engineering ICE Development","4640.81140144434","4640.81140144434","USD"
"2025-09-01","Connectivity Edge","8064.41732340572","8064.41732340572","USD"
"2025-09-01","Digital Engineering Web Gen 3 Production","7303.6370182031","7303.6370182031","USD"
"2025-09-01","Digital Engineering Intent Production","332.277459443802","332.277459443802","USD"
"2025-09-01","Digital Engineering Marketplace Purchase Development","132560.43","132560.43","USD"
"2025-09-01","TDD Platform Production","1381.67786096138","1381.67786096138","USD"
"2025-09-01","Digital Engineering Event Infrastructure Development A","2015.91074112028","2015.91074112028","USD"
"2025-09-01","Digital Engineering Contentstack Production","1600.16184754444","1600.16184754444","USD"
"2025-09-01","TCOLV-Production","300.161345834387","300.161345834387","USD"
"2025-09-01","Digital Engineering Intent Development","1092.97944164763","1092.97944164763","USD"
"2025-09-01","Information Technology Security Production","14744.0311046864","14744.0311046864","USD"
"2025-09-01","Information Technology Gaming & Hospitality Production","307.28518429969","307.28518429969","USD"
"2025-09-01","Digital Engineering BetMGM Production","1063.3197580114","1063.3197580114","USD"
"2025-09-01","Digital Workspaces Services","0.036034578","0.036034578","USD"
"2025-09-01","Digital Engineering Site Reliability Engineering Development","13574.9220514934","13574.9220514934","USD"
"2025-09-01","Digital Engineering CRM Personalization QA","17582.7367276012","17582.7367276012","USD"
"2025-09-01","TCOLV-Test","2293.20428285403","2293.20428285403","USD"
"2025-09-01","TDD MarTech Services Production","1413.00034334161","1413.00034334161","USD"
"2025-09-01","Information Technology Employee Hub Development","1043.95578507928","1043.95578507928","USD"
"2025-09-01","TDD MarTech Services Development","976.157528411698","976.157528411698","USD"
"2025-09-01","Digital Engineering CIG Loyalty Production","49919.332608355","49919.332608355","USD"
"2025-09-01","Digital Engineering Data Services Production","227251.764684436","227251.764684436","USD"
"2025-09-01","Production","11372.2552580525","11372.2552580525","USD"
"2025-09-01","Digital Engineering Sandbox","1794.45798097979","1794.45798097979","USD"
"2025-09-01","Digital Engineering Cloud FinOps Development","111.637449832374","111.637449832374","USD"
"2025-09-01","Digital Engineering CMP Production","23078.1683079761","23078.1683079761","USD"
"2025-09-01","Digital Engineering Content Search Production","900.116738968478","900.116738968478","USD"
"2025-09-01","Digital Engineering Cloud FinOps Sandbox","73.7052929925125","73.7052929925125","USD"
"2025-09-01","Automation Services","54914.0145952775","54914.0145952775","USD"
"2025-09-01","Digital Engineering CIG ResortTech Development","16258.8054952612","16258.8054952612","USD"
"2025-09-01","Digital Engineering Configuration Services Production","11545.8730982584","11545.8730982584","USD"
"2025-09-01","Information Technology IAM Development","840.308085675874","840.308085675874","USD"
"2025-09-01","Microsoft Azure Enterprise","61164.5226947001","61164.5226947001","USD"
"2025-09-01","Digital Engineering Shopping Cart Development","2766.78486614338","2766.78486614338","USD"
"2025-09-01","Digital Engineering Payment Production","48561.0805157465","48561.0805157465","USD"
"2025-09-01","Information Technology Shared Services","67669.0105882511","67669.0105882511","USD"
"2025-09-01","Digital Engineering Shared Services","24162.8622645806","24162.8622645806","USD"
"2025-09-01","Digital Engineering Identity Development","2610.10238191832","2610.10238191832","USD"
"2025-09-01","Digital Engineering Guest Services Production","24233.4812939915","24233.4812939915","USD"
"2025-09-01","Digital Engineering Web Gen 3 Development","3948.88124289391","3948.88124289391","USD"
"2025-09-01","GraphQL Development","1345.40687187093","1345.40687187093","USD"
"2025-09-01","Digital Engineering Book Now Production","1600.69058008891","1600.69058008891","USD"
"2025-09-01","Digital Engineering Shopping Cart Production","5733.01543194239","5733.01543194239","USD"
"2025-09-01","Digital Engineering Non Ecommerce Production","14042.1400642563","14042.1400642563","USD"
"2025-09-01","TCOLV-Gaming","0.00005832","0.00005832","USD"
"2025-09-01","Enterprise Search Engine Optimization Production","0.1104144723","0.1104144723","USD"
"2025-09-01","Digital Engineering CIG Data Production","77691.0787848184","77691.0787848184","USD"
"2025-09-01","Digital Engineering Customer Production","22860.15158454","22860.15158454","USD"
"2025-09-01","Digital Engineering CRM Personalization Production","133132.844966608","133132.844966608","USD"
"2025-09-01","Digital Engineering Identity Production","24097.9618546201","24097.9618546201","USD"
"2025-09-01","Digital Engineering CRM Personalization Development","7838.22992053903","7838.22992053903","USD"
"2025-09-01","Digital Engineering Legacy Loyalty Production","13175.5329035625","13175.5329035625","USD"
"2025-09-01","MGM Horizon Development","0.013581693","0.013581693","USD"
"2025-09-01","Digital Engineering CIG Development","193.32088721289","193.32088721289","USD"
"2025-09-01","Digital Engineering TDD Datacenter Services Production","0.00310176","0.00310176","USD"
"2025-09-01","Digital Engineering Book Now Development","1234.85769319566","1234.85769319566","USD"
"2025-09-01","DNS Services","416.906662707363","416.906662707363","USD"
"2025-09-01","TCOLV-Sandbox","87.9873548469194","87.9873548469194","USD"
"2025-09-01","Monitoring Services","0.01450501938","0.01450501938","USD"
"2025-09-01","Information Technology My MGM Lite Development","254.311187726178","254.311187726178","USD"
"2025-09-01","Digital Engineering Contentstack Development","1949.76581558451","1949.76581558451","USD"
"2025-09-01","Digital Engineering Internal AI Development","0.0033804","0.0033804","USD"
"2025-09-01","Information Technology Point of Sale Development","4008.42234103588","4008.42234103588","USD"
"2025-09-01","Digital Engineering Customer Development","4437.36787058868","4437.36787058868","USD"
"2025-09-01","Digital Engineering Data Services Development","44934.1810287156","44934.1810287156","USD"
"2025-09-01","Digital Engineering AIMLDS Development","22346.8081871885","22346.8081871885","USD"
"2025-09-01","Digital Engineering Event Infrastructure Production","585.06958198961","585.06958198961","USD"
"2025-09-01","Microsoft Azure Enterprise","47.9032258064514","47.9032258064514","USD"
"2025-09-01","Digital Engineering Identity v2 Production","2492.61226135609","2492.61226135609","USD"
