"UsageDate","SubscriptionName","CostUSD","Cost","Currency"
"2025-06-01","","-5.58691161150654","-5.58691161151017","USD"
"2025-06-01","Digital Engineering Fabric Production","23263.2437463772","23263.2437463772","USD"
"2025-06-01","Digital Engineering TDD Datacenter Services Development","251.219985822581","251.219985822581","USD"
"2025-06-01","Shared SaaS","4850.42944431208","4850.42944431208","USD"
"2025-06-01","TCOLV-Transit","1526.07491351325","1526.07491351325","USD"
"2025-06-01","Digital Engineering Site Reliability Engineering Production","14936.2505249879","14936.2505249879","USD"
"2025-06-01","Digital Engineering Itinerary Production","10418.7502902224","10418.7502902224","USD"
"2025-06-01","Digital Engineering Legacy Loyalty Development","4480.13813161058","4480.13813161058","USD"
"2025-06-01","Digital Engineering AIMLDS Production","1025.53232179148","1025.53232179148","USD"
"2025-06-01","Information Technology Employee Hub Production","2596.62005857646","2596.62005857646","USD"
"2025-06-01","Digital Engineering Quality Engineering Development","364.522532821576","364.522532821576","USD"
"2025-06-01","Digital Engineering Product Information Management Production","21098.8480696819","21098.8480696819","USD"
"2025-06-01","Digital Engineering CMP Development","669.690437708831","669.690437708831","USD"
"2025-06-01","Digital Engineering Content Search Development","19032.450823008","19032.450823008","USD"
"2025-06-01","Digital Engineering Booking Production","92760.0582117566","92760.0582117566","USD"
"2025-06-01","Digital Engineering Identity v2 Development","5061.34406749482","5061.34406749482","USD"
"2025-06-01","Digital Engineering Guest Services Development","22686.6577703563","22686.6577703563","USD"
"2025-06-01","Digital Engineering GraphQL Development","658.399774924714","658.399774924714","USD"
"2025-06-01","Digital Engineering Commit Purchase Production","2053977.77000054","2053977.77000054","USD"
"2025-06-01","Digital Engineering Product Information Management Development","4498.83749469955","4498.83749469955","USD"
"2025-06-01","Digital Engineering CIG Loyalty Development","16044.411201407","16044.411201407","USD"
"2025-06-01","Digital Engineering CIG Data Development","66848.402678809","66848.402678809","USD"
"2025-06-01","Digital Engineering CIG Sandbox","153.969802764926","153.969802764926","USD"
"2025-06-01","Information Technology IAM Production","173.433559061754","173.433559061754","USD"
"2025-06-01","Digital Engineering Itinerary Development","2433.23504646716","2433.23504646716","USD"
"2025-06-01","Digital Engineering CIG Production","210.208318388752","210.208318388752","USD"
"2025-06-01","Digital Engineering Booking Development","28405.0254383813","28405.0254383813","USD"
"2025-06-01","Digital Engineering ICE Production","2929.65216542305","2929.65216542305","USD"
"2025-06-01","Digital Engineering Configuration Services Development","5263.75887878226","5263.75887878226","USD"
"2025-06-01","Digital Engineering CIG ResortTech Production","7133.76086692634","7133.76086692634","USD"
"2025-06-01","Digital Engineering Non Ecommerce Development","5050.96842255984","5050.96842255984","USD"
"2025-06-01","Information Technology Security Development","2384.4579003193","2384.4579003193","USD"
"2025-06-01","Digital Engineering Payment Development","32758.0694412175","32758.0694412175","USD"
"2025-06-01","Information Technology Gaming & Hospitality Development","1463.08586201074","1463.08586201074","USD"
"2025-06-01","Digital Engineering GraphQL Production","0.0002349","0.0002349","USD"
"2025-06-01","Digital Engineering ICE Development","4708.93985830006","4708.93985830006","USD"
"2025-06-01","Connectivity Edge","7505.15093902353","7505.15093902353","USD"
"2025-06-01","Digital Engineering Web Gen 3 Production","9872.6347874279","9872.6347874279","USD"
"2025-06-01","Digital Engineering Intent Production","597.244231793513","597.244231793513","USD"
"2025-06-01","Digital Engineering Marketplace Purchase Development","2748.42","2748.42","USD"
"2025-06-01","Digital Engineering Event Infrastructure Development A","2200.10212724569","2200.10212724569","USD"
"2025-06-01","Digital Engineering Contentstack Production","1679.89404973529","1679.89404973529","USD"
"2025-06-01","TCOLV-Production","289.827663604274","289.827663604274","USD"
"2025-06-01","Digital Engineering Intent Development","1045.16168983832","1045.16168983832","USD"
"2025-06-01","Information Technology Security Production","11648.3017581433","11648.3017581433","USD"
"2025-06-01","Information Technology Gaming & Hospitality Production","194.366776459562","194.366776459562","USD"
"2025-06-01","Digital Engineering BetMGM Production","1027.82635511552","1027.82635511552","USD"
"2025-06-01","Digital Engineering Site Reliability Engineering Development","13560.7283072268","13560.7283072268","USD"
"2025-06-01","Digital Engineering CRM Personalization QA","16190.0604484284","16190.0604484284","USD"
"2025-06-01","TCOLV-Test","2217.66052987654","2217.66052987654","USD"
"2025-06-01","Information Technology Employee Hub Development","1315.32614749297","1315.32614749297","USD"
"2025-06-01","Digital Engineering CIG Loyalty Production","35977.041844879","35977.041844879","USD"
"2025-06-01","MGM IAM Development","807.264722354318","807.264722354318","USD"
"2025-06-01","Digital Engineering Data Services Production","199771.072515856","199771.072515856","USD"
"2025-06-01","Production","10722.6820008772","10722.6820008772","USD"
"2025-06-01","Digital Engineering Sandbox","13295.695011675","13295.695011675","USD"
"2025-06-01","Cloud Engineering Development","0.0081939258","0.0081939258","USD"
"2025-06-01","Digital Engineering Cloud FinOps Development","89.5261018835122","89.5261018835122","USD"
"2025-06-01","Digital Engineering CMP Production","14037.8604391384","14037.8604391384","USD"
"2025-06-01","Digital Engineering Content Search Production","968.417187450937","968.417187450937","USD"
"2025-06-01","Digital Engineering Cloud FinOps Sandbox","58.6603111686961","58.6603111686961","USD"
"2025-06-01","Automation Services","156628.409849307","156628.409849307","USD"
"2025-06-01","Digital Engineering CIG ResortTech Development","26005.510101834","26005.510101834","USD"
